Aggregate Dataset,Released:,,20210218,Nursing Homes,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Uncategorized Long Term Care Facilities,,,,,,,,,,,,,Other Care Facilities,,,,,,,,,,,,
Date,State,,Data Type,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak
20200521,NV,,Aggregate,457,,75,,316,,1,,,,,,,80,,12,,41,,1,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,NY,,Aggregate,,,,,,,,,,,3118,2646,,,,,,,,,,,,115,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,OH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,4666,,878,,2124,,,,,,,,,,,,,,,,,,,,,
20200521,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,708,,135,,424,,2,,,,,,,,,,,,,,,,,,,
20200521,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,56,,19
20200521,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,113",,,,2306,,,,,,3234,,570,,,,,,,,,,,,,
20200521,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
20200521,RI,,Aggregate,,,,,,,,,,,,,,130,,20,,,,,,,,,,6,2105,,345,,,,,,,,,,47,,,,,,,,,,,,,
20200521,SC,,Aggregate,975,,141,,398,,2,,,,,,74,79,,11,,41,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,TN,,Aggregate,,,81,,,,,,810,,,,33,,,27,,,,,,174,,,,17,,,,,,,,,,,,,,,,,,,,,,2,,,,1
20200521,TX,,Aggregate,3325,,537,,,,,,,,,,328,430,,103,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,40,,196,,,,,,,,,,,,,,,,,,,,,
20200521,VA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4304,,654,,186,,,,,,,,,,,,,
20200521,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,
20200521,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894,,507,,,,,,,,,,,,,,,
20200521,WI,,Aggregate,,,,,,,,,,,,,64,,,,,,,,,,,,,,825,,205,,,,,,,,,,101,,,,,,,,,,,,,
20200521,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,153,,,,,,,,10,,,,,,,,,,,,,
20200521,WY,,Aggregate,6,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1614,,,,949,,,,,,,,,,,,,,,,,,,,,
20200528,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,50,,230,,,,,,,,68,,,,,,,,,,,,,
20200528,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,65,,,,,,,,,,,,,
20200528,CA,,Aggregate,9183,,1725,,5437,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143,,305,,83
20200528,CO,,Aggregate,1308,422,329,104,891,515,2,,,,,,75,395,84,110,16,225,125,,,,,,,47,,,,,,,,,,,,,,405,73,145,18,256,122,,,,,,,29
20200528,CT,,Aggregate,8322,,1884,,,,,,,,,,,1007,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,DC,,Aggregate,652,,152,,194,,5,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,208,,,,,,,,,,30,,,,,,,,,,,,,
20200528,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8625,,1163,,236,,,,,,,,,,,,,
20200528,GA,,Aggregate,5023,,795,,2027,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,164,,355,,,,,,,,146
20200528,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,HI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,IA,,Aggregate,,,,,,,,,1543,,227,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,ID,,Aggregate,183,,150,,,,32,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,882",,2402,,503,,,,,,,,,,,,,
20200528,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,4086,,876,,,,,,,,,,224,,,,,,,,,,,,,
20200528,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,107,,30,,,,,,,,,,,,,
20200528,KY,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,,239,,563,,2,,,,,,120,,,,,,,,,,,,,
20200528,LA,,Aggregate,4381,,1075,,1859,,,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,91,,,,,,,,,,108
20200528,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20607,,4123,349,,,,,,,,,,,,,
20200528,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6402,,1276,,2921,,14,,,,,,222
20200528,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,MI,,Aggregate,2826,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
