Aggregate Dataset,Released:,,20210218,Nursing Homes,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Uncategorized Long Term Care Facilities,,,,,,,,,,,,,Other Care Facilities,,,,,,,,,,,,
Date,State,,Data Type,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak
20200723,ID,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,,68,,75,,,,,,,,,,,,,
20200723,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23607,,3974,,643,,,,,,,,,,,,,
20200723,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,5867,,1309,,2521,,12,,,,,,419,,,,,,,,,,,,,
20200723,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,,180,,78,,,,,,,,,,,,,
20200723,KY,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,,442,6,1249,,4,,,,,,238,,,,,,,,,,,,,
20200723,LA,,Aggregate,6871,,1479,,3767,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,108,,,,,,,,,,154
20200723,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23900,,5387,369,,,,,,,,,,,,,
20200723,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8727,,1971,,4788,,30,,,,,,227
20200723,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,70,,227,,,,,,,,21,,,,,,,,,,,,,
20200723,MI,,Aggregate,7582,,1986,,3697,,21,,,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3639,,1198,,2115,,,,,,,,370,,,,,,,,,,,,,
20200723,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1709,,428,,,,,,,,,,334,,,,,,,,,,,,,
20200723,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,MS,,Aggregate,,,,,,,,,,,,,102,,,,,,,,,,,,,9,3272,,671,,,,,,,,,,170,,,,,,,,,,,,,22
20200723,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,NC,,Aggregate,,,,,,,,,5571,,744,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899,,148,,72
20200723,ND,,Aggregate,195,,45,,291,,,,,,,,46,88,,14,,93,,,,,,,,29,,,,,,,,,,,,,,30,,2,,39,,,,,,,,8
20200723,NE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,560,,99,,451,,,,,,,,131,,,,,,,,,,,,,
20200723,NH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,772",,346,,,,,,,,,,,,,,,
20200723,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,24618,,6672,,12753,,119,,,,,,589,,,,,,,,,,,,,
20200723,NM,,Aggregate,,,,,,,,,,,,,32,,,,,,,,,,,,,18,724,,219,,529,,3,,,,,,,,,,,,,,,,,,,2
20200723,NV,,Aggregate,871,,113,,616,,3,,,,,,48,175,,31,,90,,1,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,NY,,Aggregate,,,,,,,,,,,3613,2783,395,,,,,,,,,,,123,52,59,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,OH,,Aggregate,7215,,,,3546,,,,,,,,594,766,,,,474,,,,,,,,163,,,1868,,,,,,,,,,,288,,,,244,,,,,,,,53
20200723,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,,218,,712,,3,,,,,,188,,,,,,,,,,,,,
20200723,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,,150,,75
20200723,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,18892,,,,3707,,,,,,4829,,804,,,,,,,,,,,,,
20200723,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
20200723,RI,,Aggregate,,,,,,,,,,,,,,175,,40,,,,,,,,,,10,2660,,735,,,,,,,,,,52,,,,,,,,,,,,,
20200723,SC,,Aggregate,2107,,415,,1024,,5,,,,,,145,304,,68,,216,,2,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,TN,,Aggregate,,,,,,,,,,,,,99,,,,,,,,,,,,,28,,,213,,,,,,1688,,,,,,,,,,,,,,,,,
20200723,TX,,Aggregate,15497,,1724,,,,,,,,,,907,1510,,227,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,114,,738,,,,,,,,,,,,,,,,,,,,,
20200723,VA,,Aggregate,,,,,,,,,4302,,638,,112,,,,,,,,,1378,,189,,91,,,,,,,,,510,,86,,63,,,,,,,,,1478,,286,,37
20200723,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,32,,68,,0,,,,,,12,,,,,,,,,,,,,
20200723,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5002,73,830,0,,,,,,,,,,,,,,
20200723,WI,,Aggregate,,,,,,,,,,,,,169,,,,,,,,,,,,,,1385,,359,,,,,,,,,,287,,,,,,,,,,,,,
20200723,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,,,,,,,,,,
20200723,WY,,Aggregate,19,,7,,15,,,,,,,,4,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3760,,448,,2141,,,,,,,,,,,,,,,,,,,,,
20200730,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1266,,159,,902,,1,,,,,,195,,,,,,,,,,,,,
20200730,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,294,2827,,614,,1377,,4,,,,,,147,,,,,,,,,,,,,
20200730,CA,,Aggregate,18808,,3243,,13694,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5885,,636,,214
20200730,CO,,Aggregate,1607,461,434,125,1102,542,5,0,,,,,86,545,90,163,16,342,134,0,0,,,,,59,,,,,,,,,,,,,,573,87,188,19,345,196,3,0,,,,,33
20200730,CT,,Aggregate,8783,,2853,,223,,2,,,,,,179,1066,,379,,53,,0,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,DC,,Aggregate,701,,162,,314,,7,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,,361,,461,,1,,,,,,35,,,,,,,,,,,,,
20200730,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25630,,2921,,538,,,,,,,,,,,,,
20200730,GA,,Aggregate,8620,,1401,,4120,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,,224,,789,,,,,,,,263
20200730,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,HI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,IA,,Aggregate,,,,,,,,,2355,,465,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,ID,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,,79,,95,,,,,,,,,,,,,
20200730,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,106",,"4,062",,665,,,,,,,,,,,,,
20200730,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,6622,,1618,,2774,,12,,,,,,459,,,,,,,,,,,,,
20200730,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242,,188,,86,,,,,,,,,,,,,
20200730,KY,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,,467,6,1352,,4,,,,,,253,,,,,,,,,,,,,
20200730,LA,,Aggregate,7406,,1545,,4204,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,907,,116,,,,,,,,,,157
20200730,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24144,,5477,376,,,,,,,,,,,,,
20200730,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8883,,2003,,4975,,30,,,,,,227
20200730,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,,,,,,,,,,
20200730,MI,,Aggregate,7594,,2005,,3750,,22,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3718,,1219,,2115,,,,,,,,443,,,,,,,,,,,,,
20200730,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1709,,428,,,,,,,,,,367,,,,,,,,,,,,,
20200730,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,MS,,Aggregate,,,,,,,,,,,,,129,,,,,,,,,,,,,9,3537,,721,,,,,,,,,,203,,,,,,,,,,,,,34
20200730,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,NC,,Aggregate,,,,,,,,,6112,,797,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,,162,,72
20200730,ND,,Aggregate,195,,45,,291,,,,,,,,46,88,,14,,93,,,,,,,,29,,,,,,,,,,,,,,30,,2,,39,,,,,,,,
20200730,NE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,560,,99,,451,,,,,,,,131,,,,,,,,,,,,,
20200730,NH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,,350,,,,,,,,,,,,,,,
20200730,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,24704,,6702,,12887,,120,,,,,,604,,,,,,,,,,,,,
20200730,NM,,Aggregate,,,,,,,,,,,,,32,,,,,,,,,,,,,18,798,,233,,569,,3,,,,,,,,,,,,,,,,,,,2
20200730,NV,,Aggregate,922,,114,,657,,3,,,,,,50,205,,39,,97,,1,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,NY,,Aggregate,,,,,,,,,,,3620,2783,395,,,,,,,,,,,123,52,59,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,OH,,Aggregate,7712,,,,3765,,,,,,,,607,873,,,,550,,,,,,,,187,,,1966,,,,,,,,,,,261,,,,253,,,,,,,,62
20200730,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,231,,753,,3,,,,,,212,,,,,,,,,,,,,
20200730,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,,166,,91
20200730,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,19366,,,,3918,,,,,,"4,887",,846,,,,,,,,,,,,,
20200730,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
20200730,RI,,Aggregate,,,,,,,,,,,,,,175,,45,,,,,,,,,,11,2705,,750,,,,,,,,,,52,,,,,,,,,,,,,
20200730,SC,,Aggregate,2419,,499,,1217,,9,,,,,,151,370,,97,,250,,1,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,TN,,Aggregate,,,,,,,,,,,,,126,,,,,,,,,,,,,28,,,213,,,,,,1688,,,,,,,,,,,,,,,,,
20200730,TX,,Aggregate,15694,,2082,,,,,,,,,,954,1857,,285,,,,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,991,,138,,807,,,,,,,,,,,,,,,,,,,,,
20200730,VA,,Aggregate,,,,,,,,,4501,,648,,117,,,,,,,,,1466,,200,,94,,,,,,,,,549,,82,,67,,,,,,,,,1487,,288,,38
20200730,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,32,,68,,0,,,,,,12,,,,,,,,,,,,,
20200730,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5002,73,830,,,,,,,,,,,,,,,
20200730,WI,,Aggregate,,,,,,,,,,,,,183,,,,,,,,,,,,,,1436,,368,,,,,,,,,,310,,,,,,,,,,,,,
20200730,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,180,,,,,,43,,32,,,,,,,,,,,,,
20200730,WY,,Aggregate,19,,7,,15,,,,,,,,4,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,4264,,448,,2292,,,,,,,,,,,,,,,,,,,,,
20200806,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,,182,,961,,2,,,,,,195,,,,,,,,,,,,,
20200806,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,308,3892,,988,,2132,,7,,,,,,152,,,,,,,,,,,,,
20200806,CA,,Aggregate,20116,,3439,,14769,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6577,,707,,234
20200806,CO,,Aggregate,1633,461,438,124,1118,542,5,0,,,,,88,571,90,169,16,355,133,0,0,,,,,60,,,,,,,,,,,,,,587,86,193,19,357,201,3,0,,,,,33
20200806,CT,,Aggregate,8788,,2855,,236,,3,,,,,,212,1076,,379,,57,,0,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,DC,,Aggregate,701,,162,,329,,7,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1203,,361,,461,,1,,,,,,35,,,,,,,,,,,,,
20200806,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29138,,3301,,658,,,,,,,,,,,,,
20200806,GA,,Aggregate,9448,,1525,,4451,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,,248,,851,,,,,,,,268
20200806,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,HI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,IA,,Aggregate,,,,,,,,,2355,,489,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,ID,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,,106,,103,,,,,,,,,,,,,
20200806,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24845,,4136,,666,,,,,,,,,,,,,
20200806,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,7324,,1903,,3329,,13,,,,,,528,,,,,,,,,,,,,
20200806,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,,196,,98,,,,,,,,,,,,,
20200806,KY,,Aggregate,2508,,464,,1394,,4,,,,,,203,19,,3,,42,,0,,,,,,27,,,,,,,,,,,,,,154,,10,,79,,0,,,,,,31
20200806,LA,,Aggregate,"8,165",,1645,,4687,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,,132,,,,,,,,,,166
20200806,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24450,,5541,376,,,,,,,,,,,,,
20200806,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14215,,2046,,227
20200806,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,,,,,,,,,,
20200806,MI,,Aggregate,7854,,2024,,3840,,22,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3890,,1240,,2296,,,,,,,,443,,,,,,,,,,,,,
20200806,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,,461,,,,,,,,,,393,,,,,,,,,,,,,
20200806,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,MS,,Aggregate,,,,,,,,,,,,,146,,,,,,,,,,,,,9,3838,,800,,,,,,,,,,203,,,,,,,,,,,,,35
20200806,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,NC,,Aggregate,,,,,,,,,6667,,870,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311,,177,,72
20200806,ND,,Aggregate,195,,45,,291,,,,,,,,46,88,,14,,93,,,,,,,,29,,,,,,,,,,,,,,30,,2,,39,,,,,,,,
20200806,NE,,Aggregate,,,,,,0,,,,,,,,,,,,,,,,,,,,,560,,99,,451,,,,,,,,131,,,,,,,,,,,,,
20200806,NH,,Aggregate,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2837,,351,,,,,,,,,,,,,,,
20200806,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,24587,,6679,,12945,,119,,,,,,614,,,,,,,,,,,,,
20200806,NM,,Aggregate,,,,,,,,,,,,,34,,,,,,,,,,,,,18,830,,243,,606,,3,,,,,,,,,,,,,,,,,,,2
20200806,NV,,Aggregate,1029,,116,,701,,3,,,,,,50,224,,40,,121,,1,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,NY,,Aggregate,,,,,,,,,,,3643,2783,397,,,,,,,,,,,124,52,60,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,OH,,Aggregate,8050,,,,3981,,,,,,,,639,926,,,,601,,,,,,,,198,,,2060,,,,,,,,,,,341,,,,304,,,,,,,,69
20200806,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1398,,240,,837,,3,,,,,,231,,,,,,,,,,,,,
20200806,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521,,182,,105
20200806,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,19799,,,,4071,,,,,,4943,,870,,,,,,,,,,,,,
20200806,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
20200806,RI,,Aggregate,,,,,,,,,,,,,,185,,45,,,,,,,,,,12,2705,,750,,,,,,,,,,52,,,,,,,,,,,,,
20200806,SC,,Aggregate,2718,,567,,1333,,7,,,,,,160,448,,122,,320,,2,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,TN,,Aggregate,,,,,,,,,,,,,152,,,,,,,,,,,,,33,,,213,,,,,,1688,,,,,,,,,,,,,,,,,
20200806,TX,,Aggregate,18589,,2503,,,,,,,,,,978,1963,,333,,,,,,,,,,524,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1047,,150,,863,,,,,,,,,,,,,,,,,,,,,
20200806,VA,,Aggregate,,,,,,,,,4746,,690,,121,,,,,,,,,1514,,204,,98,,,,,,,,,561,,90,,59,,,,,,,,,1499,,289,,38
20200806,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,32,,68,,0,,,,,,12,,,,,,,,,,,,,
20200806,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5573,121,898,,,,,,,,,,,,,,,
20200806,WI,,Aggregate,,,,,,,,,,,,,197,,,,,,,,,,,,,,1493,,380,,,,,,,,,,337,,,,,,,,,,,,,
20200806,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,220,,,,,,48,,124,,,,,,,,,,,,,
20200806,WY,,Aggregate,19,,7,,15,,,,,,,,4,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,500",,732,,"2,396",,,,,,,,,,,,,,,,,,,,,
20200813,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1627,,182,,1109,,2,,,,,,167,,,,,,,,,,,,,
20200813,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,327,4054,,1055,,2237,,7,,,,,,156,,,,,,,,,,,,,
20200813,CA,,Aggregate,21470,,3636,,15731,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,258",,761,,262
20200813,CO,,Aggregate,1659,466,439,124,1158,545,5,0,,,,,91,574,91,173,16,358,136,0,0,,,,,61,,,,,,,,,,,,,,592,86,194,18,359,193,3,0,,,,,34
20200813,CT,,Aggregate,8793,,2859,,246,,3,,,,,,212,1082,,379,,65,,0,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,DC,,Aggregate,701,,162,,337,,7,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1204,,362,,461,,1,,,,,,35,,,,,,,,,,,,,
20200813,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32519,,3805,,722,,,,,,,,,,,,,
20200813,GA,,Aggregate,10366,,1690,,4900,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,,254,,925,,,,,,,,273
20200813,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,HI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,IA,,Aggregate,,,,,,,,,2355,,516,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,ID,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321,,125,,123,,,,,,,,,,,,,
20200813,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25231,,4162,,682,,,,,,,,,,,,,
20200813,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,6813,,1679,,2738,,,,,,,,507,,,,,,,,,,,,,
20200813,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382,,197,,102,,,,,,,,,,,,,
20200813,KY,,Aggregate,2663,,478,,1524,,4,,,,,,214,30,,4,,46,,0,,,,,,32,,,,,,,,,,,,,,175,,10,,93,,0,,,,,,35
20200813,LA,,Aggregate,8912,,1773,,5175,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,,131,,,,,,,,,,171
20200813,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24552,,5621,377,,,,,,,,,,,,,
20200813,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14547,,2070,,227
20200813,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,,,,,21,,,,,,,,,,,,,
20200813,MI,,Aggregate,8020,,2085,,4100,,21,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,4006,,1263,,2296,,,,,,,,519,,,,,,,,,,,,,
20200813,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,,461,,,,,,,,,,427,,,,,,,,,,,,,
20200813,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,MS,,Aggregate,,,,,,,,,,,,,146,,,,,,,,,,,,,9,4186,,864,,,,,,,,,,203,,,,,,,,,,,,,35
20200813,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,NC,,Aggregate,,,,,,,,,7389,,938,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,,197,,106
